component_group,component_name,forecast_mean,analysis_mean,bias_mean,mae
hourly_component,temp,16.018,16.264,-0.246,2.1
hourly_component,dewpoint,13.906,13.542,0.364,1.426
hourly_component,wind,5.033,4.943,0.09,1.014
hourly_component,cloud,6.432,7.236,-0.805,1.805
hourly_component,precip,13.559,12.886,0.673,1.146
hourly_component,interaction,-2.191,-1.539,-0.653,0.894
hourly_component,hazard_penalty,0.594,0.965,-0.37,0.463
daily_aggregate,best_3hr,57.61,57.89,-0.28,5.975
daily_aggregate,best_6hr,55.626,54.513,1.113,6.025
daily_aggregate,daytime_weighted_mean,52.228,49.96,2.268,6.167
daily_aggregate,reliability_score,37.679,34.088,3.591,7.359
daily_aggregate,disruption_penalty,1.135,2.136,-1.002,1.152
